HS,HS4,HS4Desc,HS6,HS6Desc,BEC5Code1,BEC5Code2,BEC5Category,BEC5EndUse,BEC5Processing,BEC5Specification,BEC5Durability,i3,i31Desc,standesci3,i4,i4Desc,standesci4,GTAP,GTAPcode,GTAPdesc,CPC1,CPCdesc,BEC4Code,BEC4ENDUSE,BEC4INT,BEC4CONS,BEC4CAP,AddedByUNSD,NoteByUNSD
H5,0101,"Horses, asses, mules and hinnies; live",010121,"Horses; live, pure-bred breeding animals",712010,,"7.Health, pharmaceuticals, education, cultural, sport",CAP,,GENERIC,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0142,Raising of horses and other equines,D01,9,ctl,"Bovine cattle sheep and goats horses,",02113,Horses  asses  mules and hinnies  live,41,CAP,0,0,1,1,1To1 WITH H4
H5,0101,"Horses, asses, mules and hinnies; live",010129,"Horses; live, other than pure-bred breeding animals",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0142,Raising of horses and other equines,D01,9,ctl,"Bovine cattle sheep and goats horses,",02113,Horses  asses  mules and hinnies  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0101,"Horses, asses, mules and hinnies; live",010130,Asses; live,1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0142,Raising of horses and other equines,D01,9,ctl,"Bovine cattle sheep and goats horses,",02113,Horses  asses  mules and hinnies  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0101,"Horses, asses, mules and hinnies; live",010190,Mules and hinnies; live,1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0142,Raising of horses and other equines,D01,9,ctl,"Bovine cattle sheep and goats horses,",02113,Horses  asses  mules and hinnies  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0102,Bovine animals; live,010221,"Cattle; live, pure-bred breeding animals",112010,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CAP,,GENERIC,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0141,Raising of cattle and buffaloes,D01,9,ctl,"Bovine cattle sheep and goats horses,",02111,Bovine cattle  live,41,CAP,0,0,1,1,1To1 WITH H4
H5,0102,Bovine animals; live,010229,"Cattle; live, other than pure-bred breeding animals",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0141,Raising of cattle and buffaloes,D01,9,ctl,"Bovine cattle sheep and goats horses,",02111,Bovine cattle  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0102,Bovine animals; live,010231,"Buffalo; live, pure-bred breeding animals",112010,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CAP,,GENERIC,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0141,Raising of cattle and buffaloes,D01,9,ctl,"Bovine cattle sheep and goats horses,",02111,Bovine cattle  live,41,CAP,0,0,1,1,1To1 WITH H4
H5,0102,Bovine animals; live,010239,"Buffalo; live, other than pure-bred breeding animals",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0141,Raising of cattle and buffaloes,D01,9,ctl,"Bovine cattle sheep and goats horses,",02111,Bovine cattle  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0102,Bovine animals; live,010290,"Bovine animals; live, other than cattle and buffalo",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0121,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming",C01,0141,Raising of cattle and buffaloes,D01,9,ctl,"Bovine cattle sheep and goats horses,",02111,Bovine cattle  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0103,Swine; live,010310,"Swine; live, pure-bred breeding animals",112010,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CAP,,GENERIC,,0122,Other animal farming; production of animal products n.e.c.,C01,0145,Raising of swine/pigs,D01,10,oap,"Animal products nec,",02121,Swine  live,41,CAP,0,0,1,1,1To1 WITH H4
