HS;HS4;HS4Desc;HS6;HS6Desc;BEC5Code1;BEC5Code2;BEC5Category;BEC5EndUse;BEC5Processing;BEC5Specification;BEC5Durability;i3;i31Desc;standesci3;i4;i4Desc;standesci4;GTAP;GTAPcode;GTAPdesc;CPC1;CPCdesc;BEC4Code;BEC4ENDUSE;BEC4INT;BEC4CONS;BEC4CAP;AddedByUNSD;NoteByUNSD
H4;0101;Live horses, asses, mules and hinnies.;010121;live purebred breeding horses;712010;;Health, pharmaceuticals, education, cultural, sport;CAP;;GENERIC;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0142;Raising of horses and other equines;D01;9;ctl;Bovine cattle sheep and goats horses,;02113;Horses  asses  mules and hinnies  live;41;CAP;0;0;1;0;
H4;0101;Live horses, asses, mules and hinnies.;010129;horses, live, except purebred breeding animals;1111;;Agriculture, forestry, fishing, food, beverages, tobacco ;INT;PRIMARY;;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0142;Raising of horses and other equines;D01;9;ctl;Bovine cattle sheep and goats horses,;02113;Horses  asses  mules and hinnies  live;111;INT;1;0;0;0;
H4;0101;Live horses, asses, mules and hinnies.;010130;live asses;1111;;Agriculture, forestry, fishing, food, beverages, tobacco ;INT;PRIMARY;;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0142;Raising of horses and other equines;D01;9;ctl;Bovine cattle sheep and goats horses,;02113;Horses  asses  mules and hinnies  live;111;INT;1;0;0;0;
H4;0101;Live horses, asses, mules and hinnies.;010190;live horses, asses, mules and hinnies, other than purebred;1111;;Agriculture, forestry, fishing, food, beverages, tobacco ;INT;PRIMARY;;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0142;Raising of horses and other equines;D01;9;ctl;Bovine cattle sheep and goats horses,;02113;Horses  asses  mules and hinnies  live;111;INT;1;0;0;0;
H4;0102;Live bovine animals.;010221;live purebred breeding cattle;112010;;Agriculture, forestry, fishing, food, beverages, tobacco ;CAP;;GENERIC;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0141;Raising of cattle and buffaloes;D01;9;ctl;Bovine cattle sheep and goats horses,;02111;Bovine cattle  live;41;CAP;0;0;1;0;
H4;0102;Live bovine animals.;010229;live cattle other than purebred breeding;1111;;Agriculture, forestry, fishing, food, beverages, tobacco ;INT;PRIMARY;;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0141;Raising of cattle and buffaloes;D01;9;ctl;Bovine cattle sheep and goats horses,;02111;Bovine cattle  live;111;INT;1;0;0;0;
H4;0102;Live bovine animals.;010231;live purebred breeding buffalo;112010;;Agriculture, forestry, fishing, food, beverages, tobacco ;CAP;;GENERIC;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0141;Raising of cattle and buffaloes;D01;9;ctl;Bovine cattle sheep and goats horses,;02111;Bovine cattle  live;41;CAP;0;0;1;0;
H4;0102;Live bovine animals.;010239;live buffalo other than purebred breeding;1111;;Agriculture, forestry, fishing, food, beverages, tobacco ;INT;PRIMARY;;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0141;Raising of cattle and buffaloes;D01;9;ctl;Bovine cattle sheep and goats horses,;02111;Bovine cattle  live;111;INT;1;0;0;0;
H4;0102;Live bovine animals.;010290;bovine animals, live, nesoi;1111;;Agriculture, forestry, fishing, food, beverages, tobacco ;INT;PRIMARY;;;0121;"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming";C01;0141;Raising of cattle and buffaloes;D01;9;ctl;Bovine cattle sheep and goats horses,;02111;Bovine cattle  live;111;INT;1;0;0;0;
H4;0103;Live swine.;010310;swine, live, purebred breeding animals;112010;;Agriculture, forestry, fishing, food, beverages, tobacco ;CAP;;GENERIC;;0122;"Other animal farming; production of animal products n.e.c.";C01;0145;Raising of swine/pigs;D01;10;oap;Animal products nec,;02121;Swine  live;41;CAP;0;0;1;0;
