Posición arancelaria,Descripción,"CIIU 4dig
Rev. 3",Descripción.1,Utilización,Demanda
,,,,,
,,,,,
840310.0,Calderas para calefaccion central,2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
730900.0,"Depositos, cisternas, cubas y analogos, con capacidad superior a 300 l",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
731100.0,"Recipientes para gases comprimidos o licuados, de fundicion, de hierro",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
761300.0,"Recipientes para gases comprimidos o licuados, de aluminio.",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
732219.0,Radiadores y sus partes.,2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
761100.0,"Depositos, cisternas, cubas y recipientes similares",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
732211.0,"Radiadores y sus partes, de fundicion hierro o acero",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
,,Total 2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",,
840219.0,"Calderas de vapor, incluidas las calderas mixtas",2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840410.0,Aparatos auxiliares para las calderas de partidas 84.02 u 84.03.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840211.0,"Calderas acuotubulares, con una producción de vapor > 45 t/h",2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840110.0,Reactores nucleares.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840212.0,Calderas acuotubulares con una produccion vapor inferior o igual a 45,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840220.0,Calderas denominadas de agua sobrecalentada.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840420.0,Condensadores para maquinas de vapor.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
,,Total 2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",,
