"indice_tiempo","transporte","uso_especifico","uso_general"
"2016-01-01","161.9","263.6","189.8"
"2016-02-01","200.2","255.2","181.7"
"2016-03-01","159.4","272.2","193.0"
"2016-04-01","178.8","279.9","197.1"
"2016-05-01","337.6","257.4","201.6"
"2016-06-01","310.3","273.8","206.5"
"2016-07-01","216.8","267.6","200.0"
"2016-08-01","405.1","280.2","211.1"
"2016-09-01","318.8","335.9","214.4"
"2016-10-01","447.7","301.8","200.9"
"2016-11-01","404.2","276.2","177.3"
"2016-12-01","479.5","337.7","194.4"
"2017-01-01","185.0","343.2","217.9"
"2017-02-01","400.2","258.6","147.8"
"2017-03-01","377.9","351.3","191.1"
"2017-04-01","380.4","335.7","178.9"
"2017-05-01","403.4","369.1","233.3"
"2017-06-01","318.2","330.4","204.8"
"2017-07-01","473.3","341.8","252.5"
"2017-08-01","441.6","413.8","233.3"
"2017-09-01","380.7","372.7","262.9"
"2017-10-01","277.2","427.3","258.9"
"2017-11-01","333.8","405.3","280.0"
"2017-12-01","306.6","337.3","246.5"
"2018-01-01","206.5","420.4","260.5"
"2018-02-01","242.3","333.2","207.5"
"2018-03-01","280.3","375.2","239.7"
"2018-04-01","251.4","396.3","241.2"
"2018-05-01","305.9","352.2","254.8"
"2018-06-01","168.0","297.3","239.1"
"2018-07-01","232.4","302.5","275.3"
"2018-08-01","178.4","355.4","299.4"
"2018-09-01","76.3","290.2","241.8"
"2018-10-01","101.3","268.4","266.9"
"2018-11-01","85.5","268.9","209.3"
"2018-12-01","103.7","213.4","229.8"
"2019-01-01","49.8","259.8","223.8"
"2019-02-01","126.2","213.1","177.6"
"2019-03-01","60.5","230.6","156.4"
"2019-04-01","78.8","222.7","177.3"
"2019-05-01","94.7","266.3","179.5"
"2019-06-01","84.3","231.6","169.7"
