clae6,clae6_desc,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
0,sin asignar,000,sin asignar,00,sin asignar,0,sin asignar
7,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
11111,Cultivo de arroz,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11112,Cultivo de trigo,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11119,"Cultivo de cereales n.c.p., excepto los de uso forrajero (Incluye alforfón, cebada cervecera, etc.)",011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11121,Cultivo de maíz,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11129,Cultivo de cereales de uso forrajero n.c.p.,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11130,Cultivo de pastos de uso forrajero ,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11211,Cultivo de soja,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11291,Cultivo de girasol,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11299,"Cultivo de oleaginosas n.c.p. excepto soja y girasol (Incluye los cultivos de oleaginosas para aceites comestibles y/o uso industrial: cártamo, colza, jojoba, lino oleaginoso, maní, ricino, sésamo, tung, etc.)",011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11310,"Cultivo de papa, batata y mandioca",011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11321,Cultivo de tomate,011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11329,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p. (Incluye ají, ajo, alcaparra, berenjena, cebolla, calabaza, espárrago, frutilla, melón, pepino, pimiento, sandía, zanahoria, zapallo, zapallito, etc.)",011, Cultivos temporales,01,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
