,bk_dummy
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,0
205,0
206,0
207,1
208,1
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,1
378,1
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,1
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,0
588,0
589,0
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,0
601,0
602,0
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,0
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,1
661,0
662,0
663,1
664,1
665,1
666,1
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,1
725,0
726,1
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,1
768,0
769,1
770,0
771,0
772,0
773,0
774,0
775,0
776,1
777,1
778,1
779,1
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,0
788,0
789,0
790,1
791,1
792,1
793,0
794,0
795,0
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,0
810,0
811,0
