ciiu3_4c,ciiu3_letra,clae6,clae6_letra,propio,propio_letra,propio_letra_2,letra,desc
0,,0,0,0,,,,
111,A,11111,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11112,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11119,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11121,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11129,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11130,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11211,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11291,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,11299,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
111,A,12600,A,111,A,A,A,"Agricultura, ganadería, caza y silvicultura"
115,A,13011,A,115,A,A,A,"Agricultura, ganadería, caza y silvicultura"
115,A,13012,A,115,A,A,A,"Agricultura, ganadería, caza y silvicultura"
115,A,13013,A,115,A,A,A,"Agricultura, ganadería, caza y silvicultura"
115,A,13019,A,115,A,A,A,"Agricultura, ganadería, caza y silvicultura"
115,A,13020,A,115,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11310,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11321,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11329,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11331,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11341,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11342,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11911,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
112,A,11912,A,112,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,11400,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,11501,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,11509,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,12110,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,12510,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,12590,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,12701,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,12709,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,12800,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,12900,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
114,A,11990,A,114,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12121,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12200,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12311,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12319,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12320,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12410,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12420,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
113,A,12490,A,113,A,A,A,"Agricultura, ganadería, caza y silvicultura"
121,A,14113,A,121,A,A,A,"Agricultura, ganadería, caza y silvicultura"
