hs6_d12,A,B,CONS,C_10,C_11,C_13,C_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_29_30_31_32_33,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,E,F,G,H_551,H_552,I_60,I_61,I_62,I_63,I_64,J,K_70,K_71,K_72,K_73,K_74,K_99,L,M,N,O,P
01012900130B,18898.546666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18898.546666666665,0.0,0.0,0.0,0.0,0.0,0.0,18898.546666666665,0.0,0.0,0.0,0.0,0.0,0.0
01012900140E,2306.0356470440092,0.0,5682.181088238997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17046.54326471699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01012900190W,174648.55874728973,0.0,27827.200911318723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64163.17178359794,0.0,0.0,0.0,0.0,0.0,12146.214278896807,0.0,0.0,0.0,0.0,0.0,0.0,12146.214278896807,0.0,0.0,0.0,0.0,0.0,0.0
01012900920R,27818.827891813016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177802915953584,0.0,0.0,0.0,0.0,0.0,42520.546413457996,0.0,0.0,0.0,0.0,0.0,0.0,27818.827891813016,0.0,0.0,0.0,0.0,0.0,0.0
27101932900Z,4.842551666765589e-15,0.0,1892865.096630815,0.0,26836.739922501474,6404.133905819921,0.0,7.442989007340282e-06,0.0,0.00014654905192184697,0.0,0.0,0.0,0.0,0.0,17424.94939218195,467133.0924032502,1083.6851031912195,0.0,0.0,1.3290112655577724,77158.82491915936,0.0,0.004243843691780967,3.3680601138054075e-15,0.9305605983984098,0.004243843691780967,4.524236542480666e-05,3607.756659678389,3.5859575828720634e-16,0.0,58278.08079098399,4.383746532024354e-12,1463701.1782848795,0.0,0.0,0.00018474822315806162,0.0,4.245293627301888e-11,3.3287468678649794e-08,0.0,0.0,0.0,3.6330659841741066e-08,6.725115169770447,2.372559211568453e-10,2.8284169391042244,1.1809582473028486e-05,0.0,0.0,0.0,1.6463625772046904e-08,0.0
32091010200Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34021900900K,0.19940813577446193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.44059186422554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34039900900R,2.1318569424418503,0.0,1603216.6998239234,0.0,1303092.5410757882,0.0,9303.628003371039,76281.93527651715,0.0,7080.311704149321,0.0,0.0,464001.48365975247,2.447292601958058,0.0,132806.7028574062,840907.0014559769,1518.4060828880895,7.355347882802787e-07,17472.44099364548,9605.922277980177,251251.23329135042,8.410730209825078e-09,7.27026040929284e-07,509.63466267217626,0.00012056342218486082,7.27026040929284e-07,181523.55728373214,1.8478244894556505e-06,0.030019469841256436,0.0,38815.83757136044,31086.280419313967,884308.0257822594,0.0,0.0,10303.555706711939,0.0,0.0,6.838292232497165,0.0,0.0,0.0,9.929152729817133e-08,0.015098914491182221,3.730940573318367e-09,21362.141245766998,0.0025496721543835934,0.0,0.0,0.0,2.475590888501512,0.0
35069900000E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.16999999999999,0.0
36069000900C,0.0,0.0,15280.709414054825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010278707335461601,0.0,0.0,0.17645179424139198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010278707335461601,0.0,0.0,23.165810123025373,17277.271871377725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.165810123025373,0.0,0.0,0.0,0.0,8.511248800675155e-05,0.0
