si,A,B,C_10,C_11,C_12,C_13,C_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_29_30_31_32_33,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,E,F,G,H_551,H_552,I_60,I_61,I_62,I_63,I_64,J,K_70,K_71,K_72,K_73,K_74,K_99,L,M,N,O,P,Q,CONS
A,661673908.9493517,4532.444958953826,4993.642558176549,106262.27233534392,0.0,10172.620276889598,59139.118913048376,7587494.506518512,1453.1589014751335,21794.709115528218,155.82948765348092,1883.8676943698122,152839.241690988,17501.765407583876,4372.467711791037,446.50881436723796,142324.49157915413,272794.2854381947,58781.08904166412,20114.228449014747,100694.07827668054,181628.87319845866,3.7474548524867055,854.8167751021898,26057.59305801466,5386.585272173207,19012.18416092348,241611.29241846394,31332.139744249456,23913.065980248986,695.8550832037865,888939.784695224,770909.5709654758,2950550.9333469616,6.365858431240616,58914.20306676082,125944.23668499173,543.4768972708615,54194.85068899886,57813.04835144616,3408.866768180558,81066.4624688623,59959.21346516785,68949.5019662425,11123.772740008479,14358.6359063652,369122.42785256787,9964.661253299957,38683.87227375046,1437.245289980546,767.657521454907,13844.8340503611,7.698890655281722e-08,0.0,6847996.028221426
B,145539.89313151012,5556742.035986871,0.0,113172.46090790027,0.0,18910.20166979942,4391.11345427368,1713103.7090122805,163.32845224978635,3547.3207803332502,260.1752952424734,545.2494724749129,1840.300487508426,1926.9571071818941,72219.10191621303,7.1103574800804825,24603.211592691237,19014.009827934682,7250.737057651743,2295.9075458115994,33620.513107634644,110266.32018488909,0.0007040287576588537,44.396343562213794,36552.1417438018,1349.178540491225,6367.7213748521235,103545.1813194377,19284.62738776172,2749.487249047947,89.54971971393576,180612.83243956475,175536.9125111375,2381548.8155867276,0.7545748879587421,601.036532551683,1689.9838910448866,4568.08347014692,6881.915393594623,556199.3928038831,4463.611222819502,591.3054750100088,69.85931622023988,994.3119588449548,3619.118084729473,8051.327540116016,472919.42852555664,2124.476591091523,34985.04345626534,308.098841707724,521.4521214821808,3701.8081937342863,4.3178400836117834e-11,0.0,3321255.4897382534
C_10,30258.892183176522,0.0,14417950.406623496,24.760194220237913,0.0,637.4361397708668,856.9536391543157,0.0019040462214745895,0.0,6.950357446488343,0.0,9.048052271157184e-05,0.031866667837293826,728.3221470553277,3.808428607865378e-09,0.0,35.52376257442798,131.86222809655257,3851.909071853953,12.485989784205351,2917.3484924104546,1557.6924435559056,0.0,0.0,2.9497494356533277e-06,0.0,0.0,67.60559901106298,1.2946089627843551e-12,0.0017161094828513515,0.3705067482711849,17036465.5968379,3518.039171370588,32368.92630827389,2.519704957644685e-18,0.0,14520343.874835018,0.0,0.0,668.0169166328217,0.0,2225.1032149137436,29.712331600102484,4050.396927871286,0.0,0.0,34.99422844904897,30.283332781026065,41.12809280879025,0.0,0.0,16.5076869020261,0.0,0.0,75705.46515686571
C_11,707837.9906585638,98059.18008714358,3137.856230430445,123443722.32135119,0.0,1252014.6062639481,1562532.527597338,2790903.518706073,205291.4073980202,232809.32479925285,57543.1942188417,23887.78115127718,144606.92503103646,408388.0066831015,66654.45532687695,729769.1126191572,52295031.32346961,1228827.0894246877,3902830.449438529,294305.33402066905,1744296.7621046435,4614677.318368802,33.540867077079405,27662.7975131024,471705.2802168946,146727.64982444534,348834.87033945776,3791420.374559025,33373.18339065832,269534.9826011752,24037.120714283807,11091326.515431572,6615223.052170469,12649881.618656754,4420.729182155623,311969.2287403046,1484923.4998674898,88415.23079224663,19035.951340196156,1291690.7439479483,667584.0009276929,184521.9132418691,13685.184601300745,3856371.73015543,803859.3497401217,402730.1773718873,3734519.386369121,358791.82378706464,1126930.9751011748,52820.22989979489,50610.88052921317,419504.9154988913,0.04400869624680374,0.0,77720871.65366329
C_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_13,10908.93560490751,489.0552746354859,8.215391484659514e-09,64502.04843024551,0.0,23723984.385236144,469879.2664612043,9387.914830723808,54.36643290229089,1907.1304090913445,113.59110720464685,273.592559276764,1430.9867457001928,1264.8473603809757,93.12391897767259,25.116346325960315,7899.594821153986,3335.237608764922,7063.548128410938,922062.0765715679,12964.732672548287,85051.92249522301,2.06201564061862e-06,14.362496047477823,4834.94630810615,1393.4419205849179,551.3247809525,21952.351253790104,146.10668190180155,3094.935497121713,30.492806998444028,2161363.0343174264,153188.02710811546,23090475.75720467,3.8297775236986826,1.2219011747735047,719113.7265713188,231.98542325131595,18.10948343927218,6958.069299904049,40.13357381986541,2658.2485267670504,54.00801253320281,4180.405241912339,356.6005263172846,246.30371796449793,254097.07221669468,1589221.990142575,6350.807143647047,77.28774280499593,59.789410152113234,1517.0692324611164,1.777990382070155e-15,0.0,13133996.538662562
C_14,3159936.814290119,253.1369321518,2.5164150817957602e-21,44917.45602439962,0.0,27587.998838922213,30996745.411940582,334439.36774620134,31.34531069051048,2404.7981252742293,52.03162174179417,800.3177012685076,604.4206039670468,5282.031343987247,476.91770953512906,90.63585522272645,69757.0256471213,11611.332522695031,498608.3086769115,7632.077756147636,6560.377621793975,45481.365377144095,8.505528514919953e-05,10.528813068199504,2766.044104397005,531.3616333401063,819.9966446915308,13352.835181864933,261.69854820857597,1415.4618104996025,66.31014764265736,53913.253635715744,2115047.4141709115,2028782.2710323082,1.4348608347323086,13793.551877078162,30418.999240833655,497.6757117968319,5124.436041252901,31440.878718445907,143.49766041464454,6291.442760572345,81.45159736985651,12111.416165643988,540.8991712113595,7158.187079924078,1111370.7838187811,270468.92907648504,13797.798406990087,2828.2637824563844,136.9757933042673,490.65231513982724,3.606823551066686e-18,0.0,3960707.7684678873
D_15,11704716.310894743,177637.3193602634,100388.89472665262,2749272.4729598374,0.0,422121.943051119,2549269.100150048,137859941.5778231,92081.11452206288,1118483.2427788232,14417.96076274524,91084.86246576479,341332.7093706167,2212822.409949866,151960.39201734203,51738.14078257747,9593816.134714948,5270044.480842453,10037018.361913545,333764.3902842322,1982525.4378509675,4226568.749173962,184808.85108297836,7629.1027593515655,750732.9234474882,165107.2641243825,191013.93085367608,5421828.444311447,23040.1447447984,285221.52296859666,26137.4004086555,4748624.740811368,2533493.7144184383,83844816.20917363,2388.529743236188,559007.2276584635,232483.66919453786,28701.676049502043,20673.386476346583,1010820.7883423511,27521.964108382395,1827434.7687583352,235560.37635334552,98320.3581673629,93359.33853765113,394209.3323065531,1837842.115155338,7158.982772581514,1046078.5677722946,55111.48611993937,183085.67558160808,149881.0722742732,0.0005479527861609429,0.0,48198129.40857946
D_16,94.5936317048346,3.880387510506968,0.0,1.3536265661887417,0.0,0.4782108173842908,1425.7154203371447,572.1642846324519,3908145.9936159486,169.94410756694398,1.200412112515153,136.1985578350345,3.9094252864945918,3900.5607117423483,24.701278041260853,1.581687257609569e-07,1642472.938100438,24954.22945209877,1164.839627735201,5.0474730224969635,69.04631296093838,2877.664495414248,1.7790335687224824e-05,9.538825071265898e-05,9.077266381737624,48.80109079060537,4.533807420189059,27.14061553454811,249.54272789827058,17776.879863538492,5.393028817388778,22.972566791788957,18.648994056953867,2380156.876339864,27.788213583985257,56.539661302588364,2.874344640869058,0.0,5.550069080139196e-16,1.8744388828503287,2.750902198644763e-08,72.0253555231069,4.534207313977771e-07,9.45326001495624,1.2313127940174187,237.5499398062064,1651141.5456445734,3.878915843140387e-08,0.0,0.13761866165626882,0.3171575346635299,1942.787417871586,0.0,0.0,26993.31008808796
D_17,998837.6089474936,5350.684716186701,1.5046139826524072e-08,48698.74629026143,0.0,7775.606338615325,7396.139649632779,145849.25230592312,6441.136425071044,58460019.83054332,190818.72859230867,670140.8706613377,19075.698743790286,274176.08993289346,253317.78697916394,688.216687959716,296740.7198800224,228127.83677543874,33068.96054155065,39262.05568949364,519953.9211541028,155213.17156590818,317.3692802035208,818.5037171451296,31673.32463904801,9568.780116151964,9190.807854081933,86446.4121246117,1806.4760769202398,116761.1356944538,44650.44937999234,72192.807490566,197865.43758179067,15196950.487376899,82.43863853213146,136.0985802988963,811.276924539278,528.0613904489235,3511.151185964387,26931.159682134203,44705.09987852766,118624.07621951093,3064.71683929086,8865.78271911882,13690.404354780554,15405.16304284829,132843.7733313312,222.42968665396538,13840.769121046033,5438.261102853824,36897.89407297279,70400.57084643054,0.17713439339556528,0.0,10057770.431495974
