cuit;sd;valor_pond;NOMBRE;desc
30585361646;A;7316440.0;ASSARA S.A.;Agricultura, ganaderÃ­a, caza y silvicultura
30707003118;A;29209380.481793456;CLAAS ARGENTINA SOCIEDAD ANONIMA;Agricultura, ganaderÃ­a, caza y silvicultura
30585895268;A;210951452.6417009;CNH INDUSTRIAL ARGENTINA S.A.;Agricultura, ganaderÃ­a, caza y silvicultura
30503720236;A;154526664.19412783;INDUSTRIAS JOHN DEERE ARGENTINA S A;Agricultura, ganaderÃ­a, caza y silvicultura
30663512850;A;75938376.51133905;AVIAN LINEAS AEREAS S A;Agricultura, ganaderÃ­a, caza y silvicultura
30503858327;A;72170214.11772497;AGCO ARGENTINA SOCIEDAD ANONIMA;Agricultura, ganaderÃ­a, caza y silvicultura
30632089739;A;7802696.114592647;MULTIJACTO S A;Agricultura, ganaderÃ­a, caza y silvicultura
30647227119;A;7051999.753222452;FINNING ARGENTINA SOCIEDAD ANONIMA;Agricultura, ganaderÃ­a, caza y silvicultura
30710692447;A;6102566.278617983;SUMMER WIND SOCIEDAD ANONIMA;Agricultura, ganaderÃ­a, caza y silvicultura
30525316153;A;5888300.0;GANAGRIN SA AGRICOLA GANADERA;Agricultura, ganaderÃ­a, caza y silvicultura
30620827653;B;1158758.3344573427;EMPESUR SOCIEDAD ANONIMA;Pesca
30679555479;B;355381.82;PESQUERA CERES S A;Pesca
30503720236;B;888407.1924832115;INDUSTRIAS JOHN DEERE ARGENTINA S A;Pesca
30500914277;B;727742.5389819896;LEDVANCE S A;Pesca
30687325415;B;475434.9385755803;TESAM ARGENTINA S A;Pesca
30685185438;B;3890164.757899985;ALTAMARE S.A.;Pesca
30504577267;B;477634.78369580855;MAHLE ARGENTINA S A;Pesca
33714924619;B;557847.1514763924;SIGNIFY ARGENTINA S.A.;Pesca
30585895268;B;1018983.7409394231;CNH INDUSTRIAL ARGENTINA S.A.;Pesca
30698744177;B;367032.6367953364;CAR SECURITY SA;Pesca
30540088213;CONS;100730466.99829012;GARBARINO S A;Consumo
30577546777;CONS;138054672.5859473;HONDA MOTOR DE ARGENTINA SOCIEDAD ANONIMA;Consumo
30504018845;CONS;1133618915.4047918;VOLKSWAGEN ARGENTINA S A;Consumo
30662071680;CONS;891172443.2393538;GENERAL MOTORS DE ARGENTINA SOCIEDAD DE RESPONSABI;Consumo
30711585350;CONS;208207663.42136407;NISSAN ARGENTINA S.A.;Consumo
30678519681;CONS;761866687.6957762;FORD ARGENTINA SOCIEDAD EN COMANDITA POR ACCIONES;Consumo
30682450963;CONS;450078200.0238033;FCA AUTOMOBILES ARGENTINA S A;Consumo
30504744538;CONS;760090937.246563;PEUGEOT CITROEN ARGENTINA SOCIEDAD ANONIMA;Consumo
30503317814;CONS;660891351.0479215;RENAULT ARGENTINA S.A;Consumo
33679139369;CONS;667510448.4863701;TOYOTA ARGENTINA S A;Consumo
30682450963;C_10;610481.143106414;FCA AUTOMOBILES ARGENTINA S A;ExtracciÃ³n de carbon, lignito y turba
30682440003;C_10;184735.56088457626;IGARRETA MAQUINAS SA;ExtracciÃ³n de carbon, lignito y turba
30550815997;C_10;174432.72957275307;SIDERCA S A I C;ExtracciÃ³n de carbon, lignito y turba
30615829699;C_10;133620.628731806;TERMINAL 6 S A;ExtracciÃ³n de carbon, lignito y turba
30655534462;C_10;132528.3334627729;VISUAR S.A.;ExtracciÃ³n de carbon, lignito y turba
30647227119;C_10;305816.92652932357;FINNING ARGENTINA SOCIEDAD ANONIMA;ExtracciÃ³n de carbon, lignito y turba
30678519681;C_10;189041.1168969371;FORD ARGENTINA SOCIEDAD EN COMANDITA POR ACCIONES;ExtracciÃ³n de carbon, lignito y turba
30707992669;C_10;14416208.447356502;YACIMIENTO CARBONIFERO RIO TURBIO Y DE LOS SERVICI;ExtracciÃ³n de carbon, lignito y turba
30707734139;C_10;313439.16083358217;KRK LATINOAMERICANA S.A;ExtracciÃ³n de carbon, lignito y turba
30503720236;C_10;324517.02705179737;INDUSTRIAS JOHN DEERE ARGENTINA S A;ExtracciÃ³n de carbon, lignito y turba
30501598131;C_11;6622718.623669056;INDUSTRIAS JUAN F SECCO S A;Extraccion de petroleo crudo y gas natural
30526598780;C_11;7695338.081381413;SCHLUMBERGER ARGENTINA SOCIEDAD ANONIMA;Extraccion de petroleo crudo y gas natural
30645705943;C_11;4182181.4993898203;WEATHERFORD INTERNATIONAL DE  ARGENTINA SA;Extraccion de petroleo crudo y gas natural
30503610988;C_11;17184074.64;HALLIBURTON ARGENTINA SOCIEDAD DE RESPONSABILIDAD;Extraccion de petroleo crudo y gas natural
30697295883;C_11;4897053.665860164;HELMERICH & PAYNE ARGENTINA DRILLING CO;Extraccion de petroleo crudo y gas natural
30715233599;C_11;11881337.343343642;PETREX S.A., SUCURSAL ARGENTINA;Extraccion de petroleo crudo y gas natural
30546689979;C_11;8245559.574136638;YPF SOCIEDAD ANONIMA;Extraccion de petroleo crudo y gas natural
30526552659;C_11;15774219.410649367;PAMPA ENERGIA S A;Extraccion de petroleo crudo y gas natural
30504475413;C_11;8057736.487309072;BAKER HUGHES ARGENTINA SOCIEDAD DE RESPONSABILIDAD;Extraccion de petroleo crudo y gas natural
30710371527;C_11;6397936.26;CALFRAC WELL SERVICES (ARGENTINA) SA;Extraccion de petroleo crudo y gas natural
30647227119;C_13;7045890.973549996;FINNING ARGENTINA SOCIEDAD ANONIMA;Extraccion de minerales metaliferos
30618725320;C_13;4323322.508985423;CERRO VANGUARDIA SOCIEDAD ANONIMA;Extraccion de minerales metaliferos
30708625414;C_13;7200246.9;OROPLATA SOCIEDAD ANONIMA;Extraccion de minerales metaliferos
