cuit;sd;valor_pond;NOMBRE;desc
30501126965;A;7910259.2089789035;DU PONT ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMI;Agricultura, ganaderÃ­a, caza y silvicultura
30670824949;A;7892573.97351856;COBB ARGENTINA S A;Agricultura, ganaderÃ­a, caza y silvicultura
30503811061;A;9600173.46226022;BAYER SOCIEDAD ANONIMA;Agricultura, ganaderÃ­a, caza y silvicultura
30680682085;A;5817546.001972021;HM. CLAUSE ARGENTINA S.A.;Agricultura, ganaderÃ­a, caza y silvicultura
30646328450;A;42038765.47570225;SYNGENTA AGRO SOCIEDAD ANONIMA;Agricultura, ganaderÃ­a, caza y silvicultura
30502158763;A;11267126.001852268;PUTRUELE HERMANOS SOCIEDAD ANONIMA AGRICOLA INDUST;Agricultura, ganaderÃ­a, caza y silvicultura
30636021578;A;34355238.99264199;CORTEVA AGRISCIENCE ARGENTINA SRL;Agricultura, ganaderÃ­a, caza y silvicultura
30569723023;A;18941952.73710375;PIONEER ARGENTINA SRL;Agricultura, ganaderÃ­a, caza y silvicultura
30500658912;A;45965260.99909891;ATANOR SOCIEDAD EN COMANDITA POR ACCIONES;Agricultura, ganaderÃ­a, caza y silvicultura
30503508725;A;182685990.05732292;MONSANTO ARGENTINA SRL;Agricultura, ganaderÃ­a, caza y silvicultura
30625390636;B;1232508.5778840873;ARGENOVA SOCIEDAD ANONIMA;Pesca
30502987360;B;706699.1371536335;MERCEDES-BENZ ARGENTINA S.A.U;Pesca
30647227119;B;663884.4615806284;FINNING ARGENTINA SOCIEDAD ANONIMA;Pesca
30678519681;B;3731808.55691356;FORD ARGENTINA SOCIEDAD EN COMANDITA POR ACCIONES;Pesca
33679139369;B;1099762.4011667352;TOYOTA ARGENTINA S A;Pesca
30708688149;B;790846.0455889427;ARMADORA SAN JORGE SOCIEDAD ANONIMA;Pesca
30577856598;B;2036967.3422992628;CONARPESA CONTINENTAL ARMADORES DE PESCA SOCIEDAD;Pesca
30589123286;B;832801.1366467613;TETRA PAK S.R.L.;Pesca
30503720236;B;2740790.3297614893;INDUSTRIAS JOHN DEERE ARGENTINA S A;Pesca
30585895268;B;2352803.466716655;CNH INDUSTRIAL ARGENTINA S.A.;Pesca
33679139369;CONS;1122110835.4965806;TOYOTA ARGENTINA S A;Consumo
30504744538;CONS;214705448.8915507;PEUGEOT CITROEN ARGENTINA SOCIEDAD ANONIMA;Consumo
30662071680;CONS;261499862.6171298;GENERAL MOTORS DE ARGENTINA SOCIEDAD DE RESPONSABI;Consumo
30546689979;CONS;179125748.3231385;YPF SOCIEDAD ANONIMA;Consumo
30678519681;CONS;338137598.5436136;FORD ARGENTINA SOCIEDAD EN COMANDITA POR ACCIONES;Consumo
30506726804;CONS;162684537.96338785;RAIZEN ARGENTINA S.A.U.;Consumo
30501199253;CONS;141399391.36378208;ACINDAR INDUSTRIA ARGENTINA DE ACEROS S A;Consumo
30504018845;CONS;461708990.1946799;VOLKSWAGEN ARGENTINA S A;Consumo
30502987360;CONS;139251688.56077695;MERCEDES-BENZ ARGENTINA S.A.U;Consumo
30506919009;CONS;451508257.86459494;AXION ENERGY ARGENTINA SA;Consumo
30707992669;C_10;1333691.7379836445;YACIMIENTO CARBONIFERO RIO TURBIO Y DE LOS SERVICI;ExtracciÃ³n de carbon, lignito y turba
30531489086;C_10;10140.847651670056;PATRICIO PALMERO S A I C Y A;ExtracciÃ³n de carbon, lignito y turba
30628406177;C_10;11169.630870624567;TECMACO INTEGRAL  S A;ExtracciÃ³n de carbon, lignito y turba
30503720236;C_10;24757.988249302107;INDUSTRIAS JOHN DEERE ARGENTINA S A;ExtracciÃ³n de carbon, lignito y turba
30597430392;C_10;16290.029836548692;FERNANDEZ INSUA S.A.;ExtracciÃ³n de carbon, lignito y turba
30563044914;C_10;21045.916329059044;TRACK MAR SACI;ExtracciÃ³n de carbon, lignito y turba
30647227119;C_10;145253.57929481202;FINNING ARGENTINA SOCIEDAD ANONIMA;ExtracciÃ³n de carbon, lignito y turba
30627615619;C_10;140515.4452766363;EQUIPMENT SA;ExtracciÃ³n de carbon, lignito y turba
33612005449;C_10;31273.55484053502;SANDVIK ARGENTINA S A;ExtracciÃ³n de carbon, lignito y turba
30505480151;C_10;220462.01432906298;COVEMA S.A. COMERCIAL INDUSTRIAL Y FINANCIERA;ExtracciÃ³n de carbon, lignito y turba
30546689979;C_11;93539277.51845664;YPF SOCIEDAD ANONIMA;Extraccion de petroleo crudo y gas natural
30504475413;C_11;8137745.60621501;BAKER HUGHES ARGENTINA SOCIEDAD DE RESPONSABILIDAD;Extraccion de petroleo crudo y gas natural
30526552659;C_11;33040113.15327189;PAMPA ENERGIA S A;Extraccion de petroleo crudo y gas natural
30526598780;C_11;10919164.401097117;SCHLUMBERGER ARGENTINA SOCIEDAD ANONIMA;Extraccion de petroleo crudo y gas natural
30568531392;C_11;7209371.220000001;COMPA?IAS ASOCIADAS PETROLERAS S A;Extraccion de petroleo crudo y gas natural
30506726804;C_11;13412741.959286459;RAIZEN ARGENTINA S.A.U.;Extraccion de petroleo crudo y gas natural
30711410631;C_11;13535172.19450579;POSSEHL ERZKONTOR ARGENTINA SA;Extraccion de petroleo crudo y gas natural
30503610988;C_11;42735515.85;HALLIBURTON ARGENTINA SOCIEDAD DE RESPONSABILIDAD;Extraccion de petroleo crudo y gas natural
30647739314;C_11;26410522.200000003;ENAP SIPETROL ARGENTINA S.A. - Y.P.F.  S.A.  - UNI;Extraccion de petroleo crudo y gas natural
30714869317;C_11;7756377.351675664;GRUPO MASUR S.A.;Extraccion de petroleo crudo y gas natural
30709427152;C_12;1.633332288248682;GEOTUB S.A.;Extraccion de minerales de uranio y torio
30640072039;C_12;0.023550084742325603;BARRICK EXPLORACIONES ARGENTINA S A;Extraccion de minerales de uranio y torio
30710241437;C_12;1.0059388862458403;AGV SERVICIOS MINEROS S.R.L.;Extraccion de minerales de uranio y torio
30649705786;C_12;0.036279454247117295;TIGRE ARGENTINA S. A.;Extraccion de minerales de uranio y torio
30710882017;C_12;0.06865371185184214;TRAICO SERVICIOS S. R. L.;Extraccion de minerales de uranio y torio
30585895268;C_12;0.02685107792200744;CNH INDUSTRIAL ARGENTINA S.A.;Extraccion de minerales de uranio y torio
30711707545;C_12;0.15611717661655733;INSUMOS GEOLOGICOS S.A.;Extraccion de minerales de uranio y torio
30708154128;C_12;0.42125895881652853;MINESUPPLIES S A;Extraccion de minerales de uranio y torio
30663270512;C_12;0.1840448253082554;BOART LONGYEAR ARGENTINA S.A.;Extraccion de minerales de uranio y torio
30581958176;C_12;0.1575843193593066;AGUAS S R L;Extraccion de minerales de uranio y torio
30708625414;C_13;6230697.1;OROPLATA SOCIEDAD ANONIMA;Extraccion de minerales metaliferos
30663301744;C_13;40645057.28;MINERA ALUMBRERA LIMITED;Extraccion de minerales metaliferos
30546689979;C_13;2925616.151846468;YPF SOCIEDAD ANONIMA;Extraccion de minerales metaliferos
30662071680;C_13;3296318.7394204116;GENERAL MOTORS DE ARGENTINA SOCIEDAD DE RESPONSABI;Extraccion de minerales metaliferos
30682347194;C_13;12744562.33339547;MINERA ANDINA DEL SOL SRL;Extraccion de minerales metaliferos
30707654011;C_13;7297862.930000001;MINERA SANTA CRUZ S.A;Extraccion de minerales metaliferos
30677262466;C_13;4184519.4297814593;MINAS ARGENTINAS S A;Extraccion de minerales metaliferos
30504018845;C_13;12626928.639981942;VOLKSWAGEN ARGENTINA S A;Extraccion de minerales metaliferos
30655965005;C_13;5951294.875550514;DISTRIBUIDORA CUMMINS S A;Extraccion de minerales metaliferos
30618725320;C_13;9301891.41;CERRO VANGUARDIA SOCIEDAD ANONIMA;Extraccion de minerales metaliferos
30502281662;C_14;3015720.2549110088;RAYEN CURA SOCIEDAD ANONIMA, INDUSTRIAL Y COMERCIA;Explotacion de otras minas y canteras
30541739056;C_14;4519000.062659472;CATTORINI HNOS S A I C F E I;Explotacion de otras minas y canteras
30501092696;C_14;5978451.269475581;UNILEVER DE ARGENTINA S A;Explotacion de otras minas y canteras
30708770163;C_14;2657380.562476447;LANXESS S.A.;Explotacion de otras minas y canteras
30500834087;C_14;2809278.767041769;VIDRIERIA ARGENTINA SOCIEDAD ANONIMA;Explotacion de otras minas y canteras
30708380829;C_14;2531832.1999999997;ESTELAR RESOURCES LIMITED  S.A;Explotacion de otras minas y canteras
30501111127;C_14;5663926.6632575905;HOLCIM (ARGENTINA) SA;Explotacion de otras minas y canteras
30642796069;C_14;17892102.61;MINERA DEL ALTIPLANO S A;Explotacion de otras minas y canteras
30711934533;C_14;2502087.1216409653;PINRO SOCIEDAD DE RESPONSABILIDAD LIMITADA;Explotacion de otras minas y canteras
30709776254;C_14;9042160.621974632;SALES DE JUJUY SOCIEDAD ANONIMA;Explotacion de otras minas y canteras
30500120882;D_15;44127944.40457184;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LTDA;Alimentos
