sd;hs6_d12;valor_pond;hs6_d12_desc;desc
D_35;87112020911G;107544265.41856705;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // Los demás // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alternativo de  cilindrada superior a 50 cm3 pero inferior o igual;Otros equipo de transporte
CONS;87112020911G;240044.20868533454;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // Los demás // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alternativo de  cilindrada superior a 50 cm3 pero inferior o igual;Consumo
D_34;87112020911G;111800.37415982923;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // Los demás // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alternativo de  cilindrada superior a 50 cm3 pero inferior o igual;Automotores
D_17;87112020911G;0.6052212024295821;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // Los demás // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alternativo de  cilindrada superior a 50 cm3 pero inferior o igual;Productos textiles
D_31;87112020911G;0.00916456778350742;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // Los demás // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alternativo de  cilindrada superior a 50 cm3 pero inferior o igual;Aparatos elÃ©ctricos
D_35;87112020111N;130856621.40580717;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // De cilindrada superior a 125 cm3 pero      inferior o igual a 150 cm3 // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alterna;Otros equipo de transporte
D_34;87112020111N;39043.6027988262;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // De cilindrada superior a 125 cm3 pero      inferior o igual a 150 cm3 // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alterna;Automotores
D_17;87112020111N;12.651387849638875;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // De cilindrada superior a 125 cm3 pero      inferior o igual a 150 cm3 // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alterna;Productos textiles
F;87112020111N;6.158686041433383e-06;Completamente desarmada (sin componentes          montados en el cuadro) (CKD) // Completas // De cilindrada superior a 125 cm3 pero      inferior o igual a 150 cm3 // Motocicletas de cilindrada superior a 125 cm3 // -Con motor de embolo (pistón) alterna;ConstrucciÃ³n
D_34;87089990999J;362466762.4587258;Las demás // Los demás // Partes // Los demás // --Los demás // -Las demás partes y accesorios: // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Automotores
CONS;87089990999J;19837713.067082915;Las demás // Los demás // Partes // Los demás // --Los demás // -Las demás partes y accesorios: // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Consumo
K_74;87089990999J;4169565.4890715815;Las demás // Los demás // Partes // Los demás // --Los demás // -Las demás partes y accesorios: // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
C_13;87089990999J;2341646.6612527333;Las demás // Los demás // Partes // Los demás // --Los demás // -Las demás partes y accesorios: // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Extraccion de minerales metaliferos
D_25;87089990999J;2123928.2523652655;Las demás // Los demás // Partes // Los demás // --Los demás // -Las demás partes y accesorios: // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Productos de caucho y plÃ¡stico
D_34;87085080900L;86072466.45550202;"Los demás // Los demás // -Ejes con diferencial, incluso provistos con otros órganos de trasmisión, y ejes portadores; sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.";Automotores
C_13;87085080900L;10942398.304996181;"Los demás // Los demás // -Ejes con diferencial, incluso provistos con otros órganos de trasmisión, y ejes portadores; sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.";Extraccion de minerales metaliferos
D_29;87085080900L;2258711.9159168955;"Los demás // Los demás // -Ejes con diferencial, incluso provistos con otros órganos de trasmisión, y ejes portadores; sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.";Maquinaria y equipo
CONS;87085080900L;1315239.565781685;"Los demás // Los demás // -Ejes con diferencial, incluso provistos con otros órganos de trasmisión, y ejes portadores; sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.";Consumo
C_11;87085080900L;790881.948474967;"Los demás // Los demás // -Ejes con diferencial, incluso provistos con otros órganos de trasmisión, y ejes portadores; sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.";Extraccion de petroleo crudo y gas natural
D_34;87084090900G;41909402.00038877;Las demás // Partes // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Automotores
CONS;87084090900G;37158487.763884984;Las demás // Partes // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Consumo
D_28;87084090900G;19837626.29208248;Las demás // Partes // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Otros productos de metal
C_13;87084090900G;3100064.5214468297;Las demás // Partes // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Extraccion de minerales metaliferos
K_74;87084090900G;2893118.024653084;Las demás // Partes // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
D_34;87084080900X;135197610.8552693;Las demás // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Automotores
CONS;87084080900X;2857437.6621192596;Las demás // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Consumo
D_29;87084080900X;403141.240394297;Las demás // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Maquinaria y equipo
K_74;87084080900X;377568.63235767244;Las demás // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
C_11;87084080900X;322143.84869499627;Las demás // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Extraccion de petroleo crudo y gas natural
D_34;87084080100D;168515216.58735943;Automáticas // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Automotores
CONS;87084080100D;39618740.07757943;Automáticas // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Consumo
D_29;87084080100D;28527325.125582084;Automáticas // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Maquinaria y equipo
C_13;87084080100D;7379781.031455993;Automáticas // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Extraccion de minerales metaliferos
K_74;87084080100D;5328169.3387360955;Automáticas // Las demás cajas de cambio // cajas de cambio // -Cajas de cambio y sus partes // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
D_34;87082999990J;497702632.64703035;Las demás. // . // Partes // Los demás // Los demás // --Los demás // -Las demás partes y accesorios para carrocería  (incluidas las de cabina): // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Automotores
D_26;87082999990J;46404536.927856036;Las demás. // . // Partes // Los demás // Los demás // --Los demás // -Las demás partes y accesorios para carrocería  (incluidas las de cabina): // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Otros minerales no metÃ¡licos
CONS;87082999990J;6613789.4102894915;Las demás. // . // Partes // Los demás // Los demás // --Los demás // -Las demás partes y accesorios para carrocería  (incluidas las de cabina): // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Consumo
D_25;87082999990J;3748998.1436742195;Las demás. // . // Partes // Los demás // Los demás // --Los demás // -Las demás partes y accesorios para carrocería  (incluidas las de cabina): // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Productos de caucho y plÃ¡stico
