hs6_d12;sd;valor_pond;HS6;hs6_d12_desc;impo_tot;letra;impo_relativa;short_name;desc
87032390290N;Q;5932838.475079649;870323;Los demás // De cilindrada superior a 2.000 cm3 pero      inferior o igual a 2.400 cm3 // Los demás // --De cilindrada superior a 1.500 cm3 pero  inferior o igual a 3.000 cm3 // -Los demás vehículos con motor de émbolo (pistón) alternativo, de encendido;17676944.874703277;Q;0.33562578359170436;Los demás // De;Organizaciones y Ã³rganos extraterritoriales
87032410900F;Q;3620462.128450331;870324;Los demás // Con capacidad para el transporte de personas   sentadas inferior o igual a 6, incluido el   conductor // --De cilindrada superior a 3.000 cm3 // -Los demás vehículos con motor de émbolo (pistón) alternativo, de encendido por chispa: // AUTOM;17676944.874703277;Q;0.20481266158336106;Los demás // Co;Organizaciones y Ã³rganos extraterritoriales
87042190390N;Q;3422246.788620108;870421;Los demás // De doble cabina o cabina y media,de carga          máxima menor o igual a 1,5 t. // Los demás // --De peso total con carga máxima inferior o igual  a 5 t // -Los demás, con motor de embolo (pistón), de  encendido por compresión (Diesel o sem;17676944.874703277;Q;0.1935994490494531;Los demás // De;Organizaciones y Ã³rganos extraterritoriales
87043190200T;Q;2139887.802137845;870431;De carga máxima menor o igual a 1,5 t. // Los demás // --De peso total con carga máxima inferior o igual  a 5 t // -Los demás, con motor de embolo (pistón) de encendido por chispa: // VEHÍCULOS AUTOMÓVILES PARA EL TRANSPORTE DE MERCANCÍAS.;17676944.874703277;Q;0.12105529645001878;De carga máxima;Organizaciones y Ã³rganos extraterritoriales
87032490900J;Q;968670.6868787444;870324;Los demás // Los demás // --De cilindrada superior a 3.000 cm3 // -Los demás vehículos con motor de émbolo (pistón) alternativo, de encendido por chispa: // AUTOMÓVILES PARA TURISMO Y DEMÁS VEHÍCULOSAUTOMÓVILES CONCEBIDOS PRINCIPALMENTE PARAEL TRANSPORTE;17676944.874703277;Q;0.054798535252829114;Los demás // Lo;Organizaciones y Ã³rganos extraterritoriales
87032310990Y;Q;465909.7492952003;870323;Los demás // Los demás // Con capacidad para el transporte de personas   sentadas inferior o igual a 6, incluido el   conductor // --De cilindrada superior a 1.500 cm3 pero  inferior o igual a 3.000 cm3 // -Los demás vehículos con motor de émbolo (pistón;17676944.874703277;Q;0.026356915892289955;Los demás // Lo;Organizaciones y Ã³rganos extraterritoriales
87032310290K;Q;333961.3866543038;870323;Los demás // De cilindrada superior a 2.000 cm3 pero      inferior o igual a 2.400 cm3 // Con capacidad para el transporte de personas   sentadas inferior o igual a 6, incluido el   conductor // --De cilindrada superior a 1.500 cm3 pero  inferior o igual;17676944.874703277;Q;0.01889248334604594;Los demás // De;Organizaciones y Ã³rganos extraterritoriales
87042190990W;Q;298595.65279125836;870421;Los demás // Los demás // Los demás // --De peso total con carga máxima inferior o igual  a 5 t // -Los demás, con motor de embolo (pistón), de  encendido por compresión (Diesel o semi-Diesel): // VEHÍCULOS AUTOMÓVILES PARA EL TRANSPORTE DE MERCANCÍAS.;17676944.874703277;Q;0.016891813314333853;Los demás // Lo;Organizaciones y Ã³rganos extraterritoriales
87042190200D;Q;228470.36501335027;870421;De cabina simple,de carga máxima menor o           igual a 1,5 t. // Los demás // --De peso total con carga máxima inferior o igual  a 5 t // -Los demás, con motor de embolo (pistón), de  encendido por compresión (Diesel o semi-Diesel): // VEHÍCULOS AUTO;17676944.874703277;Q;0.01292476537279383;De cabina simpl;Organizaciones y Ã³rganos extraterritoriales
87043190900F;Q;79903.5147794099;870431;Los demás // Los demás // --De peso total con carga máxima inferior o igual  a 5 t // -Los demás, con motor de embolo (pistón) de encendido por chispa: // VEHÍCULOS AUTOMÓVILES PARA EL TRANSPORTE DE MERCANCÍAS.;17676944.874703277;Q;0.004520210666819266;Los demás // Lo;Organizaciones y Ã³rganos extraterritoriales
