hs6_d12;sd;valor_pond;HS6;hs6_d12_desc;impo_tot;letra;impo_relativa;short_name;desc
87033390900L;Q;2018264.7370405872;870333;Los demás // Los demás // --De cilindrada superior a 2.500 cm3 // -Los demás vehículos con motor de embolo   (pistón), de encendido por compresión (Diesel o semi-Diesel): // AUTOMÓVILES PARA TURISMO Y DEMÁS VEHÍCULOSAUTOMÓVILES CONCEBIDOS PRINCIPALMENTE;3292849.6123668645;Q;0.6129234476608485;Los demás // Lo;Organizaciones y Ã³rganos extraterritoriales
87032390290N;Q;644430.5635165838;870323;Los demás // De cilindrada superior a 2.000 cm3 pero      inferior o igual a 2.400 cm3 // Los demás // --De cilindrada superior a 1.500 cm3 pero  inferior o igual a 3.000 cm3 // -Los demás vehículos con motor de émbolo (pistón) alternativo, de encendido;3292849.6123668645;Q;0.19570604168994346;Los demás // De;Organizaciones y Ã³rganos extraterritoriales
87033210900W;Q;399367.0598913692;870332;Los demás // Con capacidad para el transporte de personas   sentadas inferior o igual a 6, incluido el   conductor // --De cilindrada superior a 1.500 cm3 pero      inferior o igual a 2.500 cm3 // -Los demás vehículos con motor de embolo   (pistón), de e;3292849.6123668645;Q;0.12128311550927724;Los demás // Co;Organizaciones y Ã³rganos extraterritoriales
87033290900Z;Q;118224.95014056013;870332;Los demás // Los demás // --De cilindrada superior a 1.500 cm3 pero      inferior o igual a 2.500 cm3 // -Los demás vehículos con motor de embolo   (pistón), de encendido por compresión (Diesel o semi-Diesel): // AUTOMÓVILES PARA TURISMO Y DEMÁS VEHÍCULO;3292849.6123668645;Q;0.035903537682542785;Los demás // Lo;Organizaciones y Ã³rganos extraterritoriales
87032490900J;Q;112562.30177776494;870324;Los demás // Los demás // --De cilindrada superior a 3.000 cm3 // -Los demás vehículos con motor de émbolo (pistón) alternativo, de encendido por chispa: // AUTOMÓVILES PARA TURISMO Y DEMÁS VEHÍCULOSAUTOMÓVILES CONCEBIDOS PRINCIPALMENTE PARAEL TRANSPORTE;3292849.6123668645;Q;0.034183857457388216;Los demás // Lo;Organizaciones y Ã³rganos extraterritoriales
85255021000J;P;2768.7388888540536;852550;"De frecuencia superior a 7 GHz // De televisión // -Aparatos emisores // APARATOS EMISORES DE RADIODIFUSIÓN O TELEVISIÓN, INCLUSO CON APARATO RECEPTOR O DE GRABACIÓN OREPRODUCCIÓN DE SONIDO INCORPORADO; CÁMARASDE TELEVISIÓN, CÁMARAS FOTOGRÁFICAS  DIGITAL";4408.119793419046;P;0.6280997383482066;De frecuencia s;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
84433252000P;P;996.7200261114052;844332;Los demás, con ancho de impresión superior a    580 mm // , con ancho de impresión superior a    580 mm // Graficadores («plotters») // --Las demás, aptas para ser conectadas a una  máquina automática para tratamiento o  procesamiento de datos o a una re;4408.119793419046;P;0.226110013525364;Los demás, con ;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
85258011000R;P;389.30495007900794;852580;Con tres o más captores de imagen // -Cámaras de televisión // -Cámaras de televisión,cámaras fotográficas digitales y videocámaras // APARATOS EMISORES DE RADIODIFUSIÓN O TELEVISIÓN, INCLUSO CON APARATO RECEPTOR O DE GRABACIÓN OREPRODUCCIÓN DE SONIDO IN;4408.119793419046;P;0.08831541979875585;Con tres o más ;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
84483992100K;P;226.9866666666667;844839;Accesorios // De máquinas para el enhebrado de lizos o    peines // Los demás // --Los demás // -Partes y accesorios de las máquinas de la  partida 84.45 o de sus máquinas o aparatos  auxiliares: // MÁQUINAS Y APARATOS AUXILIARES PARA LAS MÁQUINASDE LAS;4408.119793419046;P;0.0514928534849572;Accesorios // D;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
96061000200D;P;23.11439292026332;960610;"De metales comunes // -Botones de presión y sus partes // BOTONES Y BOTONES DE PRESIÓN; FORMAS PARA BOTONESY DEMÁS PARTES DE BOTONES O DE BOTONES DEPRESIÓN; ESBOZOS DE BOTONES.";4408.119793419046;P;0.005243594549034529;De metales comu;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
54060010000Q;P;2.9583266603232974;540600;Hilados de filamentos sintéticos // HILADOS DE FILAMENTOS SINTETICOS O ARTIFICIALES (EXCEPTO EL HILO DE COSER), ACONDICIONADOS PARA LA VENTA AL POR MENOR.;4408.119793419046;P;0.000671108499533028;Hilados de fila;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
85414024000K;P;0.2148306323375028;854140;"Los demás diodos láser // diodos láser // Montados, excepto las células fotovoltaicas   en módulos o paneles // -Dispositivos semiconductores fotosensibles,  incluidas las células fotovoltaicas, aunque estén ensambladas en módulos o paneles; diodos emiso";4408.119793419046;P;4.873520739119362e-05;Los demás diodo;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
90269010200D;P;0.03389366142109827;902690;Sensor de nivel de líquido refrigerante, de      los tipos utilizados en radiadores de      vehículos automóviles // De instrumentos y aparatos para medida o   control de nivel // -Partes y accesorios // INSTRUMENTOS Y APARATOS PARA MEDIDA O CONTROL DEL;4408.119793419046;P;7.688915685027135e-06;Sensor de nivel;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
54025200000B;P;0.027977277266991753;540252;--De poliésteres // -Los demás hilados sencillos con una torsión superior a 50 vueltas por metro: // HILADOS DE FILAMENTOS SINTETICOS (EXCEPTO EL HILO DE COSER) SIN ACONDICIONAR PARA LA VENTA AL POR MENOR, INCLUIDOS LOS MONOFILAMENTOS SINTETICOS DE TÍTUL;4408.119793419046;P;6.34675974749132e-06;--De poliéstere;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
83071090100B;P;0.005760083549838833;830710;Conformados, en dimensiones apropiadas como      piezas de vehículos automóviles // Los demás // -De hierro o acero // TUBOS FLEXIBLES DE METAL COMÚN, INCLUSO CON SUSACCESORIOS.;4408.119793419046;P;1.306698506342354e-06;Conformados, en;Actividades de hogares privados como empleadores y actividades no diferenciadas de hogares privados como productores
73090090000K;O;11465022.199266784;730900;Los demás // DEPÓSITOS, CISTERNAS, CUBAS Y RECIPIENTES SIMILARES PARA CUALQUIER MATERIA (EXCEPTO GAS COMPRIMIDO O LICUADO), DE FUNDICIÓN, HIERRO O ACERO, DE CAPACIDAD SUPERIOR A 300 l, SIN DISPOSITIVOS MECÁNICOS NI TERMICOS, INCLUSO CON REVESTIMIENTO INT;58521526.25899839;O;0.19591119596789222;Los demás // DE;Otras actividades de servicios comunitarios, sociales y personales
30049079990T;O;7773103.175696284;300490;Los demás // Los demás // Los demás // Que contengan productos de las partidas    29.34, 29.35 y 29.38, sin productos de las   subpartidas 3004.90.1 a 3004.90.6 // -Los demás // MEDICAMENTOS (EXCEPTO LOS PRODUCTOS DE LASPARTIDAS 30.02, 30.05 O 30.06) CON;58521526.25899839;O;0.13282468302851339;Los demás // Lo;Otras actividades de servicios comunitarios, sociales y personales
30049068813A;O;6228939.343507449;300490;"Disoproxilfumarato de tenofovir // Altretamina; bortezomib; disoproxilfumarato       de tenofovir; enfuvirtida; mesilato de       imatinib; pemetrexed; sulfato de       atazanavir; temozolomida; uracil y tegafur // Altretamina; bortezomib; disoproxilfuma";58521526.25899839;O;0.10643842944116098;Disoproxilfumar;Otras actividades de servicios comunitarios, sociales y personales
22029000990Y;O;3041104.381493179;220290;Las demás // Las demás // -Las demás // AGUA, INCLUIDAS EL AGUA MINERAL Y LA GASEADA, CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE O AROMATIZADA, Y DEMÁS BEBIDAS NO ALCOHÓLICAS, EXCEPTO LOS JUGOS DE FRUTAS U OTROS FRUTOS O DE HORTALIZAS DE LA PARTIDA 20.09.;58521526.25899839;O;0.05196556849925924;Las demás // La;Otras actividades de servicios comunitarios, sociales y personales
38089199990A;O;2331998.8133332003;380891;Los demás // Los demás // Los demás // Los demás // --Insecticidas // -Los demás // INSECTICIDAS, RATICIDAS Y DEMÁS ANTIRROEDORES,  FUNGICIDAS, HERBICIDAS, INHIBIDORES DE GERMINACIÓN Y REGULADORES DEL CRECIMIENTO DE LAS PLANTAS, DESINFECTANTES Y PRODUCTO;58521526.25899839;O;0.03984856449253368;Los demás // Lo;Otras actividades de servicios comunitarios, sociales y personales
30049068817J;O;1382472.5819923207;300490;"Sulfato de atazanavir // Altretamina; bortezomib; disoproxilfumarato       de tenofovir; enfuvirtida; mesilato de       imatinib; pemetrexed; sulfato de       atazanavir; temozolomida; uracil y tegafur // Altretamina; bortezomib; disoproxilfumarato";58521526.25899839;O;0.02362331727087772;Sulfato de ataz;Otras actividades de servicios comunitarios, sociales y personales
