,hs6,valor_pond,letra,letra_desc,HS6Desc,impo_tot,impo_relativa,short_name
0,851762,18368.444285490023,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",20236.995089537308,0.9076665880591461,Communication a
1,846591,426.65849896739576,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; sawing machines",20236.995089537308,0.021083095443749044,Machine-tools; 
2,846599,353.9492336345529,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; n.e.c. in heading no. 8465",20236.995089537308,0.01749020702275841,Machine-tools; 
3,851580,260.5943196361845,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Welding machines and apparatus; n.e.c. in heading no. 8515, whether or not capable of cutting",20236.995089537308,0.012877125209706351,Welding machine
4,846592,240.34553797142175,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; planing, milling or moulding (by cutting) machines",20236.995089537308,0.011876542782563719,Machine-tools; 
5,844313,190.1928154064988,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Printing machinery; offset, n.e.c. in item no. 8443.1",20236.995089537308,0.009398273536412035,Printing machin
6,846510,133.76813610495748,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Machine-tools; which can carry out different types of machining operations without tool change between such operations, for working wood, cork, bone, hard rubber, hard plastics or similar",20236.995089537308,0.006610078992118583,Machine-tools; 
7,842710,89.49142253697437,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by electric motor",20236.995089537308,0.004422169503971574,Fork-lift and o
8,846595,49.197115284188875,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; drilling or morticing machines",20236.995089537308,0.0024310484371083425,Machine-tools; 
9,820600,21.202767665593615,T, SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO,"Tools, hand; two or more of heading no. 8202 to 8205, put up in sets for retail sale",20236.995089537308,0.0010477231215298174,"Tools, hand; tw"
10,847290,32470218.025707908,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,Office machines; not elsewhere classified,71273187.8406164,0.45557409468366905,Office machines
11,844331,8967562.870287176,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,"Printing, copying, and facsimile machines; machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network",71273187.8406164,0.12581958436236573,"Printing, copyi"
12,902300,3600157.8808033844,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,"Instruments, apparatus and models; designed for demonstrational purposes (in education or exhibitions), unsuitable for other uses",71273187.8406164,0.05051209283432338,"Instruments, ap"
13,847130,3428626.6703386493,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",71273187.8406164,0.04810542048443047,Automatic data 
14,844332,2729740.259680647,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,"Printing, copying, and facsimile machines; single-function printing, copying or facsimile machines, capable of connecting to an automatic data processing machine or to a network",71273187.8406164,0.03829967961844204,"Printing, copyi"
15,847190,1341280.348450777,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",71273187.8406164,0.018818862872391717,Magnetic or opt
16,847050,1239092.4571258763,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,Cash registers,71273187.8406164,0.017385113458047902,Cash registers
17,846789,1135288.7754436184,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,"Tools; for working in the hand, (other than chain saws), hydraulic or with self-contained non-electric motor, (not pneumatic)",71273187.8406164,0.015928693662228086,Tools; for work
18,847170,1127722.8010188276,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,Units of automatic data processing machines; storage units,71273187.8406164,0.015822539094795095,Units of automa
19,841581,953604.2695826358,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,"Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)",71273187.8406164,0.013379565282180433,Air conditionin
20,950890,2786426.98749139,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO","Roundabouts, swings, shooting galleries, other fairground amusements; travelling theatres",4748045.782556494,0.5868576494624894,"Roundabouts, sw"
21,851822,466960.9561966669,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO","Loudspeakers; multiple, mounted in the same enclosure",4748045.782556494,0.09834803150218169,Loudspeakers; m
22,847150,327329.9683567164,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO","Units of automatic data processing machines; processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",4748045.782556494,0.0689399351537996,Units of automa
23,842860,178151.34735942737,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO","Teleferics, chair-lifts, ski-draglines, traction mechanisms for funiculars",4748045.782556494,0.03752098347786049,"Teleferics, cha"
24,851840,110446.70121613039,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",Amplifiers; audio-frequency electric,4748045.782556494,0.02326150721248153,Amplifiers; aud
25,847160,108951.09682003676,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO","Units of automatic data processing machines; input or output units, whether or not containing storage units in the same housing",4748045.782556494,0.022946513536222506,Units of automa
26,852691,101921.51152328915,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",Radio navigational aid apparatus,4748045.782556494,0.021465991734479755,Radio navigatio
27,847190,92936.3402651327,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO","Magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",4748045.782556494,0.01957359817518291,Magnetic or opt
28,880220,92172.05257212414,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",Aeroplanes and other aircraft; of an unladen weight not exceeding 2000kg,4748045.782556494,0.019412629278080778,Aeroplanes and 
29,854370,77819.74762765308,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543",4748045.782556494,0.016389847779806482,Electrical mach
30,901813,29902035.78237129,Q, SALUD HUMANA Y SERVICIOS SOCIALES,"Medical, surgical instruments and appliances; magnetic resonance imaging apparatus",102953755.37750071,0.2904414285105914,"Medical, surgic"
31,902214,23775590.51133357,Q, SALUD HUMANA Y SERVICIOS SOCIALES,"Apparatus based on the use of x-rays; including radiography or radiotherapy apparatus, for medical, surgical or veterinary uses, not dental uses, excluding computed tomography apparatus",102953755.37750071,0.23093466017004985,Apparatus based
32,901890,14667147.951697558,Q, SALUD HUMANA Y SERVICIOS SOCIALES,"Medical, surgical or dental instruments and appliances; n.e.c. in heading no. 9018",102953755.37750071,0.14246345748066694,"Medical, surgic"
33,902212,10345259.968953123,Q, SALUD HUMANA Y SERVICIOS SOCIALES,"Apparatus based on the use of x-rays; including radiography or radiotherapy apparatus, whether or not for medical, surgical, dental or veterinary uses, computed tomography apparatus",102953755.37750071,0.10048453240991687,Apparatus based
34,901812,7702024.736606416,Q, SALUD HUMANA Y SERVICIOS SOCIALES,"Medical, surgical instruments and appliances; ultrasonic scanning apparatus",102953755.37750071,0.07481052739033549,"Medical, surgic"
35,901814,2338404.8096133894,Q, SALUD HUMANA Y SERVICIOS SOCIALES,"Medical, surgical instruments and appliances; scintigraphic apparatus",102953755.37750071,0.022713156999850628,"Medical, surgic"
