,hs6,valor_pond,clae2,clae2_desc,HS6Desc
0,901812,19459309.699199498,33,Reparacion de maquinaria y equipo,"Medical, surgical instruments and appliances; ultrasonic scanning apparatus"
1,901920,8693959.64793265,33,Reparacion de maquinaria y equipo,"Therapeutic respiration apparatus; ozone, oxygen, aerosol therapy apparatus; artificial respiration or other therapeutic respiration apparatus"
2,901890,8367658.445475792,33,Reparacion de maquinaria y equipo,"Medical, surgical or dental instruments and appliances; n.e.c. in heading no. 9018"
3,901819,4520786.5743847415,33,Reparacion de maquinaria y equipo,"Medical, surgical instruments and appliances; electro-diagnostic apparatus (including apparatus for functional exploratory examination or for checking physiological parameters), n.e.c. in item no. 9018.1"
4,901850,4128265.5853053057,33,Reparacion de maquinaria y equipo,Ophthalmic instruments and appliances
5,841430,4207971.752874878,32,Industrias manufactureras diversas,Compressors; of a kind used in refrigerating equipment
6,850120,2739529.9192710426,32,Industrias manufactureras diversas,Electric motors; universal AC/DC of an output exceeding 37.5W
7,847989,1325259.7014442289,32,Industrias manufactureras diversas,"Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter"
8,842410,930697.6564613478,32,Industrias manufactureras diversas,Fire extinguishers; whether or not charged
9,844332,841680.1254000997,32,Industrias manufactureras diversas,"Printing, copying, and facsimile machines; single-function printing, copying or facsimile machines, capable of connecting to an automatic data processing machine or to a network"
10,844339,1132362.7440711968,31,Fabricación de muebles y colchones,"Printing, copying, and facsimile machines; single-function printing, copying or facsimile machines, not capable of connecting to an automatic data processing machine or to a network"
11,846330,1088771.367482573,31,Fabricación de muebles y colchones,"Machine-tools; machines for working wire, without removing material"
12,846591,1068988.0749939284,31,Fabricación de muebles y colchones,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; sawing machines"
13,846599,1066379.449619089,31,Fabricación de muebles y colchones,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; n.e.c. in heading no. 8465"
14,940320,646655.8245419378,31,Fabricación de muebles y colchones,"Furniture; metal, other than for office use"
15,840721,21349004.139076535,30,Fabricación de equipo de transporte,"Engines; outboard motors for marine propulsion, spark-ignition reciprocating or rotary internal combustion piston engines"
16,890399,4755975.958482765,30,Fabricación de equipo de transporte,"Yachts and other vessels; for pleasure or sports, rowing boats and canoes, n.e.c. in heading no. 8903, other than inflatable"
17,890510,3631730.472,30,Fabricación de equipo de transporte,Dredgers
18,870210,2714717.8305290784,30,Fabricación de equipo de transporte,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used"
19,846789,2567873.710238937,30,Fabricación de equipo de transporte,"Tools; for working in the hand, (other than chain saws), hydraulic or with self-contained non-electric motor, (not pneumatic)"
20,870421,710772314.2839698,29,Fabricación de equipos automotores,"Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1"
21,870431,491692065.9409887,29,Fabricación de equipos automotores,"Vehicles; spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1"
