hs6_d12;valor_pond;hs6_d12_desc
27101921000H;1451499849.03;"Gasóleo (""gas oil"") // Otros aceites combustibles // --Los demás // -Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de minera"
27112100000T;1422284240.8899999;--Gas natural // -En estado gaseoso: // GAS DE PETRÓLEO Y DEMÁS HIDROCARBUROS GASEOSOS.
27160000000V;1301119859.5400002;ENERGÍA ELECTRICA.
27111100000D;973710207.74;--Gas natural // -Licuados: // GAS DE PETRÓLEO Y DEMÁS HIDROCARBUROS GASEOSOS.
12019000190C;566791344.11;Las demás // A granel, con hasta 15 % embolsado      (Ley 21.453) // -Los demás // HABAS (POROTOS, FRIJOLES, FREJOLES)* DE SOJA(SOYA), INCLUSO QUEBRANTADAS.
87082999990J;555099498.51;Las demás. // . // Partes // Los demás // Los demás // --Los demás // -Las demás partes y accesorios para carrocería  (incluidas las de cabina): // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.
85299020000G;508403617.79;De los aparatos de las partidas 85.27   u 85.28 // -Las demás // PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS APARATOS DE LAS PARTIDAS85.25 A 85.28.
85177099000H;463214600.05;"Las demás // Las demás // -Partes // TELEFONOS, INCLUIDOS LOS TELEFONOS CELULARES (MÓVILES)* Y LOS DE OTRAS REDES INALÁMBRICAS; LOS DEMÁS APARATOS DE EMISIÓN, TRANSMISIÓN O RECEPCIÓN DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÓN EN RED CON"
87089990999J;394018383.22999996;Las demás // Los demás // Partes // Los demás // --Los demás // -Las demás partes y accesorios: // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.
27090010900N;332909266.43;Los demás // De petróleo // ACEITES CRUDOS DE PETRÓLEO O DE MINERALBITUMINOSO.
26011200110X;330256321.41;Hematites // Minerales // --Aglomerados // -Minerales de hierro y sus concentrados, excepto las piritas de hierro tostadas (cenizas de piritas): // MINERALES DE HIERRO Y SUS CONCENTRADOS, INCLUIDAS LAS PIRITAS DE HIERRO TOSTADAS (CENIZAS DE PIRITAS).
30049069990H;279441464.6;Los demás // Los demás // Los demás // Que contengan productos de la partida   29.33, sin productos de las subpartidas   3004.90.1 a 3004.90.5 // -Los demás // MEDICAMENTOS (EXCEPTO LOS PRODUCTOS DE LASPARTIDAS 30.02, 30.05 O 30.06) CONSTITUIDOSPOR PRODU
30021039900Z;277312999.55;Los demás // Los demás // Demás fracciones de la sangre y productos    inmunológicos, preparados como medicamentos // -Antisueros (sueros con anticuerpos), demás fracciones de la sangre y productos inmunológicos, incluso modificados u obtenidos por proce
