;letra;clae6;clae6_desc;vta_bk;vta_sec
0;G;451110;Venta de autos, camionetas y utilitarios nuevos (Incluye taxis, jeeps, 4x4 y vehículos similares);1;1
1;G;451190;Venta de vehículos automotores nuevos n.c.p. (Incluye casas rodantes, trailers, camiones, remolques, ambulancias, ómnibus, microbuses y similares, cabezas tractoras, etc.);1;1
2;G;451210;Venta de autos, camionetas y utilitarios, usados (Incluye taxis, jeeps, 4x4 y vehículos similares);1;1
3;G;451290;Venta de vehículos automotores usados n.c.p. (Incluye, casas rodantes, trailers, camiones, remolques, ambulancias, ómnibus, microbuses y similares, cabezas tractoras, etc.);1;1
4;G;452101;Lavado automático y manual de vehículos automotores;0;
5;G;452210;Reparación de cámaras y cubiertas (Incluye reparación de llantas) ;0;
6;G;452220;Reparación de amortiguadores,  alineación de dirección y balanceo de ruedas ;0;
7;G;452300;Instalación y reparación de parabrisas, lunetas y ventanillas, cerraduras no eléctricas y grabado de cristales (Incluye instalación y reparación de aletas, burletes y colisas);0;
8;G;452401;Reparaciones eléctricas del tablero e instrumental, reparación y recarga de baterías, instalación de alarmas, radios, sistemas de climatización;0;
9;G;452500;Tapizado y retapizado de automotores;0;
10;G;452600;Reparación y pintura de carrocerías, colocación y reparación de guardabarros y protecciones exteriores;0;
11;G;452700;Instalación y reparación de caños de escape y radiadores;0;
12;G;452800;Mantenimiento y reparación de frenos y embragues;0;
13;G;452910;Instalación y reparación de equipos de GNC;0;
14;G;452990;Mantenimiento y reparación del motor n.c.p., mecánica integral (Incluye auxilio y servicios de grúa para automotores) ;0;
15;G;453100;Venta al por mayor de partes, piezas y accesorios de vehículos automotores;0;
16;G;453210;Venta al por menor de cámaras y cubiertas;0;
17;G;453220;Venta al por menor de baterías;0;
18;G;453291;Venta al por menor de partes, piezas y accesorios nuevos n.c.p.;0;
19;G;453292;Venta al por menor de partes, piezas y accesorios usados n.c.p.;0;
20;G;454010;Venta de motocicletas y de sus partes, piezas y accesorios;1;1
21;G;454020;Mantenimiento y reparación de motocicletas;0;
22;G;461011;Venta al por mayor en comisión o consignación de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;0;
23;G;461012;Venta al por mayor en comisión o consignación de semillas;1;1
24;G;461013;Venta al por mayor en comisión o consignación de frutas (Incluye acopiadores y receptoras);0;
25;G;461014;Acopio y acondicionamiento en comisión o consignación de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;0;
26;G;461019;Venta al por mayor en comisión o consignación de productos agrícolas n.c.p.;0;
27;G;461021;Venta al por mayor en comisión o consignación de ganado bovino en pie (Incluye consignatarios de hacienda y ferieros);0;
28;G;461022;Venta al por mayor en comisión o consignación de ganado en pie excepto bovino;0;
29;G;461029;Venta al por mayor en comisión o consignación de productos pecuarios n.c.p.;0;
30;G;461031;Operaciones de intermediación de carne - consignatario directo -;0;
31;G;461032;Operaciones de intermediación de carne excepto consignatario directo (Incluye matarifes abastecedores de carne, etc.);0;
32;G;461039;Venta al por mayor en comisión o consignación de alimentos, bebidas y tabaco n.c.p.;0;
33;G;461040;Venta al por mayor en comisión o consignación de combustibles (No incluye electricidad) ;0;
34;G;461091;Venta al por mayor en comisión o consignación de productos textiles, prendas de vestir, calzado excepto el ortopédico,  artículos de marroquinería, paraguas y similares y productos de cuero n.c.p.;0;
35;G;461092;Venta al por mayor en comisión o consignación de  madera y materiales para la construcción;1;1
36;G;461093;Venta al por mayor en comisión o consignación de minerales, metales y productos químicos industriales;0;
37;G;461094;Venta al por mayor en comisión o consignación de  maquinaria, equipo profesional industrial y comercial, embarcaciones y aeronaves;1;1
38;G;461095;Venta al por mayor en comisión o consignación de papel, cartón, libros, revistas, diarios, materiales de embalaje y artículos de librería;0;
39;G;461099;Venta al por mayor en comisión o consignación de  mercaderías n.c.p.;0;
40;G;462120;Venta al por mayor de semillas y granos para forrajes;0;
41;G;462131;Venta al por mayor de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;0;
