letra;clae6;clae6_desc;vta_sec
G;451110;Venta de autos, camionetas y utilitarios nuevos (Incluye taxis, jeeps, 4x4 y vehículos similares);1
G;451190;Venta de vehículos automotores nuevos n.c.p. (Incluye casas rodantes, trailers, camiones, remolques, ambulancias, ómnibus, microbuses y similares, cabezas tractoras, etc.);1
G;451210;Venta de autos, camionetas y utilitarios, usados (Incluye taxis, jeeps, 4x4 y vehículos similares);1
G;451290;Venta de vehículos automotores usados n.c.p. (Incluye, casas rodantes, trailers, camiones, remolques, ambulancias, ómnibus, microbuses y similares, cabezas tractoras, etc.);1
G;452101;Lavado automático y manual de vehículos automotores;0
G;452210;Reparación de cámaras y cubiertas (Incluye reparación de llantas) ;1
G;452220;Reparación de amortiguadores,  alineación de dirección y balanceo de ruedas ;1
G;452300;Instalación y reparación de parabrisas, lunetas y ventanillas, cerraduras no eléctricas y grabado de cristales (Incluye instalación y reparación de aletas, burletes y colisas);1
G;452401;Reparaciones eléctricas del tablero e instrumental, reparación y recarga de baterías, instalación de alarmas, radios, sistemas de climatización;1
G;452500;Tapizado y retapizado de automotores;1
G;452600;Reparación y pintura de carrocerías, colocación y reparación de guardabarros y protecciones exteriores;1
G;452700;Instalación y reparación de caños de escape y radiadores;1
G;452800;Mantenimiento y reparación de frenos y embragues;1
G;452910;Instalación y reparación de equipos de GNC;1
G;452990;Mantenimiento y reparación del motor n.c.p., mecánica integral (Incluye auxilio y servicios de grúa para automotores) ;1
G;453100;Venta al por mayor de partes, piezas y accesorios de vehículos automotores;1
G;453210;Venta al por menor de cámaras y cubiertas;0
G;453220;Venta al por menor de baterías;0
G;453291;Venta al por menor de partes, piezas y accesorios nuevos n.c.p.;0
G;453292;Venta al por menor de partes, piezas y accesorios usados n.c.p.;0
G;454010;Venta de motocicletas y de sus partes, piezas y accesorios;1
G;454020;Mantenimiento y reparación de motocicletas;1
G;461011;Venta al por mayor en comisión o consignación de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;1
G;461012;Venta al por mayor en comisión o consignación de semillas;1
G;461013;Venta al por mayor en comisión o consignación de frutas (Incluye acopiadores y receptoras);1
G;461014;Acopio y acondicionamiento en comisión o consignación de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;1
G;461019;Venta al por mayor en comisión o consignación de productos agrícolas n.c.p.;1
G;461021;Venta al por mayor en comisión o consignación de ganado bovino en pie (Incluye consignatarios de hacienda y ferieros);1
G;461022;Venta al por mayor en comisión o consignación de ganado en pie excepto bovino;1
G;461029;Venta al por mayor en comisión o consignación de productos pecuarios n.c.p.;1
G;461031;Operaciones de intermediación de carne - consignatario directo -;1
G;461032;Operaciones de intermediación de carne excepto consignatario directo (Incluye matarifes abastecedores de carne, etc.);1
G;461039;Venta al por mayor en comisión o consignación de alimentos, bebidas y tabaco n.c.p.;1
