"zona","zona_desc","zona_prov"
1,"CABA","CAPITAL FEDERAL"
2,"GBA12","GBA"
3,"GBA3","GBA"
4,"Carmen de Patagones","IPBA"
5,"Patagones","IPBA"
6,"Villarino","IPBA"
7,"Resto de PBA","IPBA"
8,"Gran Catamarca","CATAMARCA"
9,"Catamarca","CATAMARCA"
10,"Córdoba - Sobremonte","CORDOBA"
11,"Córdoba - Río Seco","CORDOBA"
12,"Córdoba - Tulumba","CORDOBA"
13,"Córdoba - Cruz del Eje","CORDOBA"
14,"Córdoba - Minas","CORDOBA"
15,"Córdoba - Pocho","CORDOBA"
16,"Córdoba - San Alberto","CORDOBA"
17,"Córdoba - San Javier","CORDOBA"
18,"Córdoba - Gran Córdoba","CORDOBA"
19,"Córdoba - Resto de la provincia","CORDOBA"
20,"Corrientes - Esquina","CORRIENTES"
21,"Corrientes - Sauce","CORRIENTES"
22,"Corrientes - Curuzú-Cuatiá","CORRIENTES"
23,"Corrientes - Monte Caseros","CORRIENTES"
24,"Corrientes - ciudad de Corrientes","CORRIENTES"
25,"Corrientes - Resto de la provincia","CORRIENTES"
26,"Chaco - Gran Resistencia","CHACO"
27,"Chaco","CHACO"
28,"Chubut - Rawson/Trelew","CHUBUT"
29,"Chubut","CHUBUT"
30,"Entre Ríos - Federación","ENTRE RIOS"
31,"Entre Ríos - Feliciano","ENTRE RIOS"
32,"Entre Ríos - Paraná","ENTRE RIOS"
33,"Entre Ríos - Resto de la provincia","ENTRE RIOS"
34,"Formosa - ciudad de Formosa","FORMOSA"
35,"Formosa","FORMOSA"
36,"Jujuy - ciudad de Jujuy","JUJUY"
37,"Jujuy","JUJUY"
38,"La Pampa - Chical-Có","LA PAMPA"
39,"La Pampa - Chalileo","LA PAMPA"
40,"La Pampa - Puelén","LA PAMPA"
41,"La Pampa - Limay-Mahuilda","LA PAMPA"
42,"La Pampa - Curacó","LA PAMPA"
43,"La Pampa - Lihuel-Calel","LA PAMPA"
44,"La Pampa - Santa Rosa Toay","LA PAMPA"
45,"La Pampa - Resto de la provincia","LA PAMPA"
46,"La Rioja - ciudad de La Rioja","LA RIOJA"
47,"La Rioja","LA RIOJA"
48,"Mendoza - Gran Mendoza","MENDOZA"
49,"Mendoza","MENDOZA"
50,"Misiones - Posadas","MISIONES"
51,"Misiones","MISIONES"
52,"Neuquén Plottier","NEUQUEN"
53,"Neuquén - Centenario","NEUQUEN"
54,"Neuquén - Cutral-Có","NEUQUEN"
55,"Neuquén - Plaza Huincul","NEUQUEN"
56,"Neuquén","NEUQUEN"
57,"Río Negro - Zona Nº 2","RIO NEGRO"
58,"Río Negro - Viedma","RIO NEGRO"
59,"Río Negro - Alto Valle","RIO NEGRO"
60,"Río Negro - Zona Nº 1","RIO NEGRO"
61,"Salta - Gran Salta","SALTA"
62,"Salta","SALTA"
63,"San Juan - Gran San Juan","SAN JUAN"
64,"San Juan","SAN JUAN"
65,"San Luis - ciudad de San Luis","SAN LUIS"
66,"San Luis","SAN LUIS"
67,"Santa Cruz - Caleta Olivia","SANTA CRUZ"
68,"Santa Cruz - Río Gallegos","SANTA CRUZ"
69,"Santa Cruz","SANTA CRUZ"
70,"Santa Fe - Gral. Obligado","SANTA FE"
71,"Santa Fe - San Javier","SANTA FE"
72,"Santa Fe - Santo Tomé","SANTA FE"
73,"Santa Fe - 9 de Julio","SANTA FE"
74,"Santa Fe - Vera","SANTA FE"
75,"Santa Fe - Resto de la provincia","SANTA FE"
76,"Santiago del Estero - Cdad. de Santiago del Estero","SANTIAGO DEL ESTERO"
77,"Santiago del Estero - Ojo de Agua","SANTIAGO DEL ESTERO"
78,"Santiago del Estero - Quebrachos","SANTIAGO DEL ESTERO"
79,"Santiago del Estero - Rivadavia","SANTIAGO DEL ESTERO"
80,"Santiago del Estero - Resto de la provincia","SANTIAGO DEL ESTERO"
81,"Tierra del Fuego - Río Grande","TIERRA DEL FUEGO"
82,"Tierra del Fuego - Ushuaia","TIERRA DEL FUEGO"
83,"Tierra del Fuego","TIERRA DEL FUEGO"
84,"Tucumán - Gran Tucumán","TUCUMAN"
85,"Tucumán","TUCUMAN"
86,"Identifica trabajador siniestrado hasta V 9.3","-"
87,"Formosa - Bermejo","FORMOSA"
88,"Formosa - Ramón Lista","FORMOSA"
89,"Formosa - Mataco","FORMOSA"
90,"Mendoza - Las Heras - Las Cuevas","MENDOZA"
91,"Mendoza - Resto Las Heras","MENDOZA"
92,"Mendoza - Luján de Cuyo - Potrerillos","MENDOZA"
93,"Mendoza - Luján de Cuyo - Carrizal","MENDOZA"
94,"Mendoza - Luján de Cuyo - Agrelo","MENDOZA"
95,"Mendoza - Luján de Cuyo - Ugarteche","MENDOZA"
96,"Mendoza - Luján de Cuyo - Perdriel","MENDOZA"
97,"Mendoza - Luján de Cuyo - Las Compuertas","MENDOZA"
98,"Mendoza - Resto Distritos Luján de Cuyo","MENDOZA"
99,"Mendoza - Tupungato - Santa Clara","MENDOZA"
"A0","Mendoza - Tupungato - Zapata","MENDOZA"
"A1","Mendoza - Tupungato - San José","MENDOZA"
"A2","Mendoza - Tupungato - Anchoris","MENDOZA"
"A3","Mendoza - Resto Distritos Tupungato","MENDOZA"
"A4","Mendoza - Tunuyán - Los Arboles","MENDOZA"
"A5","Mendoza - Tunuyán - Los Chacayes","MENDOZA"
"A6","Mendoza - Tunuyán - Campos de los Andes","MENDOZA"
"A7","Mendoza - Resto Distritos Tunuyán","MENDOZA"
"A8","Mendoza - San Carlos - Pareditas","MENDOZA"
"A9","Mendoza - Resto Distritos San Carlos","MENDOZA"
"B0","Mendoza - San Rafael - Cuadro Venegas","MENDOZA"
"B1","Mendoza - Resto Distritos San Rafael","MENDOZA"
"B2","Mendoza - Malargüe - Malargüe","MENDOZA"
"B3","Mendoza - Malargüe - Río Grande","MENDOZA"
"B4","Mendoza - Malargüe - Río Barrancas","MENDOZA"
"B5","Mendoza - Malargüe - Agua Escondida","MENDOZA"
"B6","Mendoza - Resto Distritos Malargüe","MENDOZA"
"B7","Mendoza - Maipú - Russell","MENDOZA"
"B8","Mendoza - Maipú - Cruz de Piedra","MENDOZA"
"B9","Mendoza - Maipú - Lumlunta","MENDOZA"
"C0","Mendoza - Maipú - Las Barrancas","MENDOZA"
"C1","Mendoza - Resto Distritos Maipú","MENDOZA"
"C2","Mendoza - Rivadavia - El Mirador","MENDOZA"
"C3","Mendoza - Rivadavia - Los Campamentos","MENDOZA"
"C4","Mendoza - Rivadavia - Los Arboles","MENDOZA"
"C5","Mendoza - Rivadavia - Reducción","MENDOZA"
"C6","Mendoza - Rivadavia - Medrano","MENDOZA"
"C7","Mendoza - Resto Distritos Rivadavia","MENDOZA"
"C8","Salta - Orán - San Ramón de la Nueva Orán y su ejido urbano","SALTA"
"C9","Salta - Resto Distritos Orán","SALTA"
"D0","Salta - Los Andes","SALTA"
"D1","Salta - Santa Victoria","SALTA"
"D2","Salta - Rivadavia","SALTA"
"D3","Salta - Gral. San Martín - Tartagal y su ejido urbano","SALTA"
"D4","Salta - Resto Distritos Gral. San Martín","SALTA"
"D5","Catamarca - Antofagasta de la Sierra Actividad Minera","CATAMARCA"
"D6","Catamarca - Antofagasta de la Sierra Resto Actividades","CATAMARCA"
"D7","Jujuy - Cochinoca","JUJUY"
"D8","Jujuy - Humahuaca","JUJUY"
"D9","Jujuy - Rinconada","JUJUY"
"E0","Jujuy - Santa Catalina","JUJUY"
"E1","Jujuy - Susques","JUJUY"
"E2","Jujuy - Yavi","JUJUY"
"E3","Pascua Lama - Alumbrera","SAN JUAN"
